page,review_title,review_text,rating
1,Quality fish oil,"One of the most popular product , not really taste but good softgels. Recommended this product for adult use ,One per day for long time .Will take again .Very clean and original product .You can feel good after one week ,but if you don't need do not use this product for omega 3 .Thanks",5.0
1,Clean and Effective Fish Oil,"This is a great Omega-3 supplement. The quality is excellent, and the ingredients are clean without unnecessary fillers. Each softgel delivers a solid 1100 mg dose, which makes it very efficient compared to other brands. The softgels are a good size, easy to swallow, and I didn’t experience any aftertaste or fishy burps. It feels like a product designed with both purity and effectiveness in mind. Overall, a premium fish oil at a fair value — definitely one of the best choices for daily Omega-3 support.",5.0
1,Clean Omega-3 for Heart & Brain Health,"“I got this Omega-3 for my husband Ahmad mainly to support heart health, brain function, and inflammation balance. Each softgel delivers 1,100 mg of fish oil with 180 mg EPA and 120 mg DHA, which is a solid daily dose for general wellness. Omega-3s are essential for cardiovascular protection, cognitive support, and keeping inflammation under control. This brand stood out because it’s tested for purity, uses fish gelatin (no pork), and has no fishy aftertaste — which makes it much easier to take consistently. Ahmad takes one softgel daily with food, and it fits perfectly into his supplement routine. Compared to other Omega-3s, this one combines good potency, clean sourcing, and affordability. For us, it’s a reliable way to cover one of the most important foundations of long-term health.”",5.0
1,Gold Standard Omega-3,"California Gold Nutrition’s Omega-3 Premium Fish Oil delivers exactly what it promises—clean, potent, and reliable support for heart, brain, and joint health. Each fish gelatin softgel contains 1,100 mg of high-quality Omega-3s, including EPA and DHA, without the fishy aftertaste. The softgels are easy to swallow, and the formula is rigorously tested for purity and freshness. With 100 softgels per bottle, it’s a smart, cost-effective choice for anyone looking to elevate their daily wellness routine.",5.0
1,,"“Thank you so much, iHerb! The Omega-3 supplement was fantastic — I feel more energetic and focused since I started taking it. The quality is excellent, no aftertaste at all, and it’s gentle on the stomach. I’m really happy with this purchase and will definitely continue using it. Highly recommended!” 😍🌷❤️🫶🏻🙏🏻",5.0
1,High quality and great value for the price,"I appreciate that California Gold Nutrition 's Omega-3 Premium Fish Oil is purified and tested for heavy metals and other contaminants, which give me peace of mind.  What really stands out is the value. The large bottle lasts a long time, making it incredibly cost-effective without compromising on quality.  For anyone looking for a pure, affordable Omega-3 supplement you can take daily with confidence, this is a solid pick!",5.0
1,very good,very good quality of vit c helped with my immune system as i used to have to many cold flu also it was a great antioxidant so it helped with my skin and hair appearance and also my stomach health with acidity and the size was great it stayed with me for several months it has some fishy smell but it helped with inflammation,5.0
1,Omega 3!,"Wonderful Omega 3,with a big package ,contains 240 fish gelatin softgels. Taste you don't feel at all,capsules is big. Very good benefits for hair,nails,heart... Quality is good 👍 with nice ingredients for all ages. Suggested 2 softgels per day.",5.0
1,Nice,"The fish blend quality is good the taste and ingredients is nice I used once a day / serving me once , frequently not good for a breastfeeding, the size, packaging are suitable. Benefits . Age 14 heart , inflammation and hair , cholesterol omega",5.0
1,great,"it's very good composition easy to use it has many benefits for all age after 18 years nice package 📦 and nice composition it's suitable for all season I like and recommend everything in iherb , l noticed that the prices became high so I advised to try to adjust the prices to be suitable and affordable for all thank you 😊",5.0
2,Excellent,"Absolutely love the California Gold Nutrition Omega-3 Premium Fish Oil! The 360 mg EPA and 240 mg DHA per serving are perfect for supporting my health, and the fact that it’s gluten- and GMO-free is a big plus. The 240 softgels ensure I have plenty to last, and the quality is top-notch. Highly recommend this product!",5.0
2,Love it,"I’ve been taking this Omega-3 supplement for a few weeks now and I can really feel the difference. I feel less tired and my mind feels clearer. It’s easy to swallow and doesn’t leave any fishy aftertaste, which I love. Great quality and worth it for overall health!",4.0
2,favvv,"MY ABSOLUTE FAVORITE!!! fit for all ages, it's easy to swallow, and has no fish taste i promise you, the packaging is secure and it is benefitial in the long run, so benefits are ur money's worth, its good quality and uses safe ingredients! Also, i liked how it's a softgel!",5.0
2,Omega-3 Fish oil,"The quality its just wow for fish oil The package it was amazing i will benefit from this product a lot to build muscle and increase performance and for inflammation also and heart,hair No cholesterol added the taste is good Thank you i am so happy to use your product",5.0
2,Good,"I have been using only this brand of Omega 3 for a long time. The delivery system is very convenient, all the products are well packaged. I took it for almost a month, the headaches in the evenings went away. My nails stopped peeling. My skin became smooth. My immunity increa",5.0
2,Amazing Quality Omega-3 with Noticeable Benefits!,"California Gold Nutrition Omega-3 is top quality, with pure fish ingredients and a generous 1,100 mg size per softgel. At my age, I can really feel the benefits, better heart health, balanced cholesterol, shinier hair, and less inflammation. The package is sturdy, there's no fishy taste at all. This omega supplement has been such a positive addition to my daily routine.",5.0
2,Omega gives a lot of energy!,"Great product. I’m anemic, I need sources of energy and food is not enough. So this package benefits me. Great ingredients and quality. Just can only recommend as a side source of natural fats. Especially women need it. For skin, hair, nails. For men mostly to lower cholesterol and increase heart defense.",5.0
2,California Gold Omega 3 Premium Fish oil,This product has good quality and the ingredients are of best for my age. It benefits my good cholesterol and my heart. It is carefully packaged and the taste is just fine. I don't know about the inflammation and hair benefits but I am pretty sure it's helping me that's why I can't stop buying it..,5.0
2,I like that ✌️🇦🇿,"Good quality supplement with healthy ingredients of fish oil, easy to use for almost all ages. After using that, I haven't had any negative effects yet, so about positive sides the same - joke ;) In my opinion, that supplement is one of the must have in your daily meal, especially for cold winter time.",5.0
2,cholesterol,not much to say yet. people talk about the good quality of the brand so I choose this particular one. I really don't like fish so there's a lack of omega in my diet. tha package its pretty standard. not so sure of how much time it takes to see the benefits but I will update at some point.,5.0
2,Good 👍,"Benefits of Omega-3 Supplements When you aren’t able to add enough omega-3s to your diet via food, a daily supplement can help you maintain sufficient levels of good fat. Doing so has been associated with maintaining an optimal lipid profile.* In addition, adequate omega-3 intake is thought to provide other health benefits, such as a reduced risk of cardiovascular disease, healthy brain function, and support of overall immune health.",5.0
2,Прекрасно!,"Everyone knows about the necessity of taking Omega-3, especially when there is no quality seafood in the diet. I am delighted with the quality of this product and really like the EPA to DHA ratio per capsule. I take two capsules a day with meals. The capsules are medium-sized but very easy to swallow. After a course of 3-6 months, I notice a significant improvement in the quality of my skin, hair, and nails, as well as overall well-being. I highly recommend this manufacturer! Great volume and good price.",5.0
2,I like it!,"The formulation feels clean, effective, and trustworthy. For anyone seeking a reliable Omega-3 supplement that supports heart, brain, and general health, this is a strong choice that lives up to its promises.",5.0
2,"California Gold Nutrition, Omega-3 Premium Fish Oil- good ingredients","The package is practical and the softgels are a good size, easy to swallow. The composition feels pure and the quality is high with no strong fishy smell or aftertaste. Absorption is excellent, and the effect on overall health and skin elasticity is noticeable after consistent use.",5.0
2,Good price good product,"I take this California Gold Nutrition Omega-3 Premium Fish Oil every day. The softgels are quite large, but surprisingly easy to swallow. There’s no bad smell or fishy aftertaste, which I really appreciate. Great quality and easy to take daily!",5.0
2,One of the better ones we've had,Good quality and good clean ingredients. Packaging is good and the soft gels don't get stuck over time to each other considering I will live in a humid country. Best benefit is that we don't feel the fishy aftertaste or when we burp.,5.0
2,,Clean product with no fishy smell or aftertaste. Helps with joint comfort and brain focus. My skin even looks better since taking it. Excellent value and high quality as always from this brand.,5.0
2,Great,"The quality good and the ingredient 10/10 aging well and the packaging was perfect and the benefits within days I noticed it, it effect and improved my diet and the taste kinda good",5.0
3,Great,"The quality and ingredients are good! The pill is medium, and there is no taste per se. I’m taking to help with inflammation since i have some conditions.",5.0
3,Прекрасно!,"Thank you very much for this product, it suited me, I like the packaging, comfortable and stylish, I will order more of these products, and recommend them to all my friends and relatives! good!!",5.0
3,Very good if you’re not eat fish probably like two times a week,"Very, very, very good easy and nice mailing. Nothing if you’re not eating two time fish by week this is enough you eat every day to tablet enough at all.",5.0
3,Easy to take without fishy smell,"My sons, both on the ASD spectrum, are taking this to help manage their sensory issues. I plan to share an update in 2-3 weeks about the results. So far, they are happily and willingly taking it. Happy and repeat order",5.0
3,Excellent,This fish well is also a very suitable cold for our human body because it protects us from vitamin D deficiency and fulfills the functions of vitamin D.,5.0
3,Прекрасно!,"Thank you very much for this product, it suited me, I like the packaging, comfortable and stylish, I will order more of these products, and recommend them to all my friends and relatives! good",5.0
3,GOOD,The quality of this product is very good. The size of the package is not big for me to store. The ingredient is also good for me,5.0
3,Nice quality!,The benefits of using of omega you will see in the month but you have to take it everyday. You don’t need to taste it just swallow. It helps hair growth and good for different age range.,5.0
3,很好！,"Been using other brand for many years, heard that this brand is good. So I buy 2 bottles to try, will start I finish my old stocks on hand.",5.0
3,👍🏼👍🏼,"California Gold Nutrition, Omega-3 Premium Fish Oil ⭐️⭐️⭐️⭐️⭐️ High quality and no fishy aftertaste. Helps with skin hydration and mental clarity.",5.0
3,excellent,good quality and the size is grande .the ingredients not bad as a omega 3 in this price. but i recommend di più omega 3 800,5.0
3,Great,"I’ve been taking California Gold Nutrition Omega-3 Premium Fish Oil for a while now, and I’m very impressed. The quality is excellent, and I feel it supports my overall well-being. The softgels are easy to swallow with no aftertaste. Highly recommend!",5.0
3,Good quality!,"This Omega-3 supplement is great quality and a good value for the size of the bottle. The softgels are easy to take and don’t leave a fishy aftertaste, which I really appreciate. I’ve noticed it works well for me — I feel more energized and balanced overall, and it definitely feels worth the money. There will be a bit of a smell when you burp after but it dissipates quickly!",5.0
3,Fish oil,"The quality of the product and ingredients overall seems decent. I took it for heart and health and reduction of inflammation. however, I generally dont like the aftertaste. You can taste the fish. The size of the tables are a little big. However, the package is a convenient size. Im sure i do t like the taste.",3.0
3,Health product,"First time buying from California Gold Nutrition, haven't oppened the package still but I guess it's like the other omegas, omega 3s are essential for heart,eye, cardiovascular health,tons of other benefits too. Might expect little fish oil burps after but it happens with every omega 3's.",4.0
3,Premium but cheap Omega-3,"My daughter is using Children's Eye Health Gummies by Nordic Naturals that has high ingredient of Omega-3 Fatty Acids for her eyes with amblyopia. Recently, I have tried to replace this Nordic Omega-3 gummy by a cheaper one, Omega-3 Fish Oil forming as gelatin softgels. In one hand, this replacement with the same ingredient significantly saves my money but in the other hand, the softgel with rather big size has some difficulty to take by children. So I intend to find other product that can be easier than for taking.",4.0
4,Its good!,"""I am satisfied with Omega-3 Premium Fish Oil, 100 Fish Gelatin Softgels. The product has a pleasant taste and is easy to swallow. I have noticed improvements in my skin and hair since starting to take it. I also feel more energetic and have better concentration throughout the day. I take it with food, both in the morning and evening. I recommend this product to anyone who cares about their health!""",4.0
4,,"I use California Gold Nutrition Omega-3 Premium Fish Oil every night and I love it. The quality is excellent, the softgels are easy to swallow with no unpleasant taste, and it’s a great addition to my daily routine for overall health.",4.0
4,Addition to fish diet,"I've been told that eating fish should substitute taking Omega 3. However, I hate oily fish - I prefer merluza, bacalao or similar (here in Spain). So I opt for taking additional Omega 3 to stay healthy - and this product seems the perfect ratio of quality vs price (especially while it is on promotion)",5.0
4,Good Quality Fish Oil,"I've been taking this Omega-3 daily for several weeks. The softgels are easy to swallow and there is no unpleasant fishy aftertaste. The quality seems very good, and I am satisfied with the product. I would recommend it to others looking for a reliable Omega-3 supplement.",5.0
4,5,"The scent is so pretty, the use is helpful, the quality is great, the size is great, the age is good, the package is very nice, the benefit is very nice, the composition is wow, the hair looks amazing, the scalp is so good, the sensitive is just perfect, the moisturize is excellent. I use it and saw the result that was really perfect.",5.0
4,Amazing,"I’m not being biased at all, but I bought this for my mom/auntie so I haven’t personally used it. However, the scent is really nice and not too strong. The quality looks good from the packaging, and the size seems fair for the price. The package arrived well packaged with no leaks at all, which I really appreciate. It also seems like it would be gentle for regular use. Overall, it looks like a good product and I’m happy with the purchase so far.",5.0
4,Excellent Value Omega‑3,"Great value omega‑3! I’ve been taking this daily with breakfast and noticed improvements in my overall wellness. The softgels are easy to swallow and I didn’t get the strong fishy aftertaste that some other brands give. The 360 mg EPA and 240 mg DHA are perfect for heart, brain, and inflammation support. It’s a huge bottle, so it lasts for months, and the quality feels excellent for the price. Will definitely repurchase!",5.0
4,I take it every day,"Ingredient Fish Oil Concentrate The package is big , it has 120mg The quaility is good as it has no pig or beef. Omega 3 is good for us to maintain sufficient levels of good fat, healthy brain function and support of overall immune health. I like it is because it has great quality",5.0
4,Great quality!,"I keep on returning to this Omega-3 time and time again. I’m sure you know how important it is to supplement this element even in seemingly healthy diet. I just adjust a serving according to my needs taking it with breakfast and dinner. It does have a fish smell/aftertaste but that is what you get with these, and taking it right before the meal helps.",5.0
4,Fantastic fish oil product from iHerb,"I like this product and brand very much. We have been buying similar ones and this one is also the same. It helps with cholesterol and inflammation for heart health. Good benefit omega oil for any range of age. There is no taste or after taste because i always take it with water, so are my parents. Thanks for reading.",5.0
4,"""Supports Health & Energy – Excellent Quality!""","""I’ve been taking this omega-3 for a few weeks, and I feel great! The capsules are easy to swallow, and I love knowing I’m supporting my heart, brain, and overall health. High quality and effective—I’ll definitely keep using it!""",5.0
4,Good Quality Omega-3 with No Fishy Taste,"This Omega-3 from California Gold Nutrition is a very good quality fish oil supplement. The softgels are easy to swallow and I like that they contain both EPA and DHA, which are important for overall health, heart support and brain function. I also appreciate that the capsules don’t have a strong fishy taste or aftertaste, which sometimes happens with fish oil supplements. They are smooth and comfortable to take daily. The bottle contains 100 softgels, so it lasts for quite a while and offers good value for the price. The packaging is simple and reliable, and the product feels fresh and high quality. Overall, this is a great everyday Omega-3 supplement. I would definitely recommend it to anyone looking for a good quality fish oil at a reasonable price.",5.0
4,,Oh my God he is so good for your health especially if you work out or do any kind of sports you need to use it so I recommend this brand is so good size is so good. The quality is the best quality doesn’t have a bad taste and it’s so easy to use.,5.0
4,Premium Fish oil,"This is an addition to my daily dose of vitamins for a healthy body. No fishy after taste, affordable, safe packaging, the ingredients my body needs and with my age for a healthy benefits body. Great quality and affordable for my omega3 for a healthy heart, and no stomach upset.",5.0
4,Recommend,"I really recommend these Omega‑3 softgels. The quality is great, the capsules are easy to swallow, and the price is very fair for the amount you get. They don’t have any fishy aftertaste, which is a huge plus, and the formula feels clean and reliable. They’re a solid everyday supplement for adults who want a simple way to increase their omega‑3 intake. I’ve been really happy with them and will definitely keep buying this brand. Great quality, good and clean ingredients, great value — highly recommend!",5.0
4,,this is good and nice Omega 3 more past my memory and active very past its good benefits for everything thank you i oder this one’s i tray to order again,5.0
4,my best,"I really like this fish oil. The ingredients seem clean and high quality, and it feels very healthy. I take it daily for my heart, and it’s suitable for any age. The fish capsules are easy to swallow, and I feel it supports my overall health and well-being.",5.0
4,Good,"I take this for my daily omega-3 consumption. There's no fishy taste, the soft gels are easy to swallow, the packaging is good. Helps with inflammation especially after a work out. I realise I ache less the next day when taking it after a workout. I hear its great for the heart, at my age, that's really important, because I would like to stay active for a very long time.",5.0
4,live it,"It's Truely good quality ingredients. I use it every morning I my routine at my age 40ty. I do take it for omega purpose and inflammation. Omega-3 fatty acids are essential fats crucial for heart, brain, and eye health, reducing inflammation, triglycerides, and blood pressure while supporting cognitive function, vision, and potentially alleviating symptoms of autoimmune and mental health conditions like depression, with benefits extending to skin and sleep quality, primarily obtained from fatty fish, seeds, and fortified foods. It has. A strong taste of you burst it in your mouth. Not so pleasant to have a fishy taste early morning. Package is always good by California gold.",5.0
5,شكرا,"High‑quality omega‑3 fish oil with a solid dose of EPA and DHA to support heart, brain, and joint health. The fish gelatin softgels are easy to swallow, and the clean formula avoids unnecessary fillers. Large count makes it good value for everyday use. Practical choice if you want reliable, straightforward omega‑3 support in a simple, no‑nonsense softgel format.",5.0
5,My Go-To Omega-3 for Daily Use,"I have been using California Gold Nutrition Omega-3 Premium Fish Oil, and I’m very impressed with the quality. The capsules are easy to swallow, have no unpleasant fishy taste or aftertaste, and feel very gentle on digestion. I appreciate how clean and pure this product is, and it has become an important part of my daily routine. I’ve noticed a consistent sense of overall well-being since I started using it. This is a premium omega-3 supplement that I truly trust and highly recommend.",5.0
5,Gentle & no burping.,"I order from iHerb often. This is my standard 4–5 star review, meaning the product is excellent and exactly as described. It works as intended, is packaged properly, and I genuinely enjoy using it. I’ve either reordered already or plan to when I run out. Like if this helped.",5.0
5,for my children,"Good-quality omega-3 at a fair price. Provides a strong dose of EPA and DHA to support heart, brain, and joint health. The softgels are easy to swallow with no fishy aftertaste, and the packaging is clean and well sealed. Simple formula, reliable quality, and good value for daily use without paying extra for branding.",5.0
5,Amazing,"The quality is high and I used to use the same company for my purchases and I be never been disappointed. Omega 3 is an important element to add to our nutrition, it is good for our health, hair, mood, etc.",5.0
5,Good Quality Omega-3 Supplement,"I’ve been taking California Gold Nutrition Omega-3 Fish Oil as part of my daily supplement routine. The softgels are easy to swallow and don’t have an unpleasant aftertaste. The product feels well made and consistent, making it a convenient option for regular use. Overall, a solid choice for adding omega-3s to a balanced lifestyle.",5.0
5,Great bottle size!,"As a woman, omega 3 are essential fats that have a vital role on our bodies, like supporting heart health, reducing inflammation, hormonal balance, skin and hair health and managing emotions. This brand offers a very high quality fish oil and what I like the most is that the ingredients are halal and no bovin gelatin is added. I highly recommend consuming this.",5.0
5,,"I don't see any side effects.Everything is of high quality, The ingredients are good, I like the packaging, The benefits The quality is perfect. The ingredients are natural. The taste is pleasant, not harsh. Frequent use. The size corresponds to the description. Standard size packaging. The composition is natural without additives. The benefit is great.",5.0
5,Good,"It’s a good product and high quality. Omega Tablets were preserved well during shipping. Note though that the tablets are quite large and though they don’t smell, when you ingest them you will get a fishy smell feel coming out of your stomach for the next 2-3 hours Good for heart,hair and nailes",5.0
5,"Premium Fish Oil Softgels for Heart, Brain, and Joint Support","I’ve been taking these omega-3 fish oil softgels daily, and the quality of the ingredients is excellent. The size is easy to swallow, and the package keeps them fresh and secure. The serving and frequency are easy to follow. With consistent use, I’ve noticed improvements in heart and brain health, joint comfort, and overall wellness, making them a dependable addition to my daily supplement routine.",5.0
5,Appreciation,"I’ve been using this product and I absolutely love it. The quality is amazing and it feels very natural and aligned with what my body needs. I can really feel the improvement since I started using it = overall well-being. I appreciate how pure and clean it is, and it truly feels like it supports my holistic lifestyle. It’s easy to use: no smell, no aftertaste, and integrates beautifully into my daily routines. I’m happy with this product and I definitely recommend it to anyone who loves natural, supportive, and high-vibration items.",5.0
5,California Gold Nutrition Omega-3 Premium Fish Oil – Highly Recommended!,"I’ve been using this fish oil for a while, and it’s one of the best I’ve tried. The capsules are easy to swallow, and there’s no fishy aftertaste or burps, which I love. It’s packed with high-quality Omega-3s (EPA and DHA) from wild-caught fish, supporting heart health and reducing inflammation. Plus, the price is great for the quality. My joints feel better, and my skin has improved since I started taking it. The only downside is the strong smell when you open the bottle, but that’s not a big issue. Overall, I’m super happy with this supplement!",5.0
5,Good,Quality and quantity are good Very clean ingredients The packaging of this brand is good Omega 3,5.0
5,Great Omega 3,"I am buying it regularly as I see real improvement of my skin, body, hair. Taste is absolutely fine as it is not smelly and size of pills is also suitable for consumption. If you wish to feel yourself better, please try this Omega and you will see a real result.",5.0
5,"Supports heart, brain, and joint health","I’ve been taking this Omega 3 fish oil for a few weeks, and I already notice the benefits. My joints feel better during workouts, and I feel more focused and energized throughout the day. The softgels are easy to swallow, and there’s no fishy aftertaste. High-quality supplement that I’ll keep using!",5.0
5,,"I’ve been taking California Gold Nutrition Omega-3 Premium Fish Oil for a while, and I can really see why it’s so popular. The quality ingredients are top-notch, and it feels safe for any age to use. The fish oil comes in a convenient package, and the capsules are easy to swallow. The benefit is noticeable—I’ve seen improvements in my hair, especially my dandruff has stopped, and I feel it also helps with inflammation. It supports heart health and even seems to help maintain healthy cholesterol levels. The omega-3 content is excellent, and while the taste is typical of fish oil, it’s mild enough that it’s easy to take daily. Overall, it’s a supplement I trust and plan to continue using.",5.0
5,,"⭐️⭐️⭐️⭐️⭐️ High Quality and Effective! This premium fish oil is excellent—I can tell it’s high quality because there’s no fishy aftertaste, and the softgels are easy to swallow. I feel more energized, my joints are less stiff, and it supports my overall heart health. Very satisfied with this purchase and will keep it as part of my daily routine!",5.0
5,,"I have been trying this supplement for a while and I am very satisfied with the quality. The ingredients are clean, and the formula feels well-balanced compared to similar products. I noticed better energy levels and overall well-being after consistent use. The packaging is convenient, and the capsules/liquid are easy to take. I also appreciate that it does not cause any side effects for me. Overall, this is a reliable product that I would purchase again.",5.0
6,MY HUNDRED PURCHASE OF THIS LOL😂😅💕,"10nth time buying from California Gold Nutrition, haven't oppened the package still but I guess it's like the other omegas, omega 3s are essential for heart,eye, cardiovascular health, tons of other benefits too. Might expect little fish oil burps after but it happens with every omega 3's.",5.0
6,I always used this good one product,Top quality with right ingredients and suitable size.... Highly recommend it.,5.0
6,I love it,"I was impressed with the quality of this fish oil. The composition is pure with no unpleasant aftertaste, and the size of each softgel is easy to swallow. I take it regularly because the benefits for overall health are well-known, and I like that the package lasts a long time.",5.0
6,good,"the quality is excellent and the ingredients are pure. good for any age looking for omega-3 support. you do get a little fish taste afterwards but honestly that proves it’s authentic. the package is solid and easy to store. it’s helped me with everything overall, especially hair health.",5.0
6,High-Quality Omega-3 for Heart and Brain Health,"The quality of California Gold Omega-3 is excellent, and I trust it for daily heart and brain support. The ingredients are clean, with high concentrations of EPA and DHA and no unnecessary fillers. The size of the softgels is easy to swallow, making it convenient for everyday use. The packaging is sturdy and well-sealed, keeping the capsules fresh over time. Overall, this supplement is very effective in supporting cardiovascular health, cognitive function, and overall wellness.",5.0
6,a game changer,"The quality of California Gold Omega-3 is excellent, and I can really feel the difference compared to other brands. The ingredients are clean and pure, with high concentrations of EPA and DHA without unnecessary fillers. The size of the softgels is easy to swallow, and the bottle provides a generous supply that lasts a long time. I also appreciate the sturdy packaging, which keeps the product fresh and well-protected. Overall, this supplement is very effective for supporting heart health, brain function, and overall wellness.",5.0
6,"High-quality fish oil, but I needed a stronger dose","alifornia Gold Nutrition Omega-3 Premium Fish Oil is a solid, high-quality product with a good balance of EPA (360 mg) and DHA (240 mg). I appreciated its purity and effectiveness, and it definitely supports overall health. That said, for my psoriasis flare management, I found I needed a stronger dose. I’ve since moved on to a formula with higher EPA (500 mg) and DHA (250 mg), which works better for me. If you’re looking for a reliable fish oil supplement, this is a great choice — just keep in mind your individual needs and adjust accordingly!",5.0
6,Love it,"Totally recommended. I’ve been using Omega-3 gelatin softgel tablets for a few weeks now, and the results have been quite positive. The softgels are easy to swallow, with no unpleasant aftertaste, which is a big plus. The gelatin coating makes them smooth and hassle-free to take daily. In terms of effectiveness, I’ve noticed an improvement in my overall energy levels and a slight boost in mental clarity. The added Omega-3s seem to be beneficial for heart health and reducing inflammation, as my joint discomfort has diminished. The product also doesn’t cause any digestive issues, which is sometimes a concern with supplements. Overall, these Omega-3 softgel tablets are a convenient and effective way to ensure you’re getting your essential fatty acids. They’ve become a reliable part of my daily routine.",5.0
6,Excellent,"Omega 3 Helping To Control My Blood Pressure & My Cholesterol ,,, We Always Taking Omega 3",5.0
6,,"Great product! I noticed a big difference in my focus and overall energy. The capsules don’t have a strong fishy aftertaste, which is a huge plus. My joints feel better, and I’ve seen improvements in my skin as well. Very high quality and worth the price. I definitely recommend it for daily health support. ✅ No strong fishy taste ✅ Supports brain and heart health ✅ Easy to swallow and digest",5.0
6,,"The scent is amazing, the package is perfect, and the temperature is just right.",5.0
6,Premium fish oil,"I’ve been using Omega-3 Premium Fish Oil for a few months now, and I can confidently say it’s one of the best supplements I’ve added to my daily routine. The quality is noticeable right from the packaging to the effectiveness of the product. If you’re looking for a high-quality, reliable fish oil supplement, Omega-3 Premium Fish Oil is worth considering. It’s clean, effective, and delivers what it promises. A solid 5/5 from me.",5.0
6,Excellent Quality Omega-3 with No Aftertaste,"This is one of the best fish oil supplements I’ve used. The capsules are easy to swallow and have no fishy aftertaste or burps, which is a big plus. I’ve noticed better focus, joint comfort, and overall wellness since taking it regularly. Great value for the amount you get—240 softgels last a long time. The quality is consistent, and it’s gentle on the stomach. Highly recommended for daily heart and brain support!",5.0
6,Offers excellent quality at a great price,"California Gold Nutrition Omega-3 Premium Fish Oil offers excellent quality at a great price. Each softgel delivers a potent dose of EPA and DHA, essential for heart, brain, and joint health. The softgels are easy to digest, made with fish gelatin, and have no fishy aftertaste — a big plus. After regular use, I’ve felt improvements in focus and reduced inflammation. Highly recommended for anyone looking to support their overall wellness naturally.",5.0
6,It's time to go fishing!,"California Gold Nutrition, Omega-3 Premium Fish Oil features globally-sourced, highly-refined Fish Oil! These high quality capsules have improved my heart health, mental clarity, and joint comfort. Additionally, I feel more focused and less mentally fatigued. There's no fishy taste and the medium sized capsules are easy to swallow!",5.0
